title,artist,album,url,description,release_year,fetch_date
Wara Warita,Ollantay,Wara Warita,https://www.youtube.com/watch?v=hgCNuL6Qn-k,,,2026-04-18 23:09:00
Rompe el Silencio,Ayra Bolivia,Despertar Lejos de Tu Amor,https://www.youtube.com/watch?v=9arfywnDQlg,,,2026-04-18 23:09:00
Buzos Rojos,Llajtaymanta,A Bailar V,https://www.youtube.com/watch?v=5Jh7EFcfL44,,,2026-04-18 23:09:00
Guerrero en tu corazón y Distacia y tiempo,GRUPO ARRAIGO,El Poder del Folklore,https://www.youtube.com/watch?v=St0T4FfMU5U,,,2026-04-18 23:09:00
Torcasitay,Grupo Bolivia,Torcasitay (Bolivia y Su Folklore),https://www.youtube.com/watch?v=fo3AQvMWl24,,,2026-04-18 23:09:00
Somos Cheyennes,Nebis Nak,Somos Cheyennes,https://www.youtube.com/watch?v=Dv72ewQ9phI,,,2026-04-18 23:09:00
Mi raíz,La toba,"""Mi Raíz""",https://www.youtube.com/watch?v=TPLZlUqALFA,,,2026-04-18 23:09:00
"Ama Sua, Ama Sua, Ama Qhella",Kala Marka,De Los Andes Al Amazonas,https://www.youtube.com/watch?v=WLLlDtbZXz0,,,2026-04-18 23:09:00
Nokhay-Ku,Runa Marka,Runa Marka (Folklore Boliviano),https://www.youtube.com/watch?v=w_cuOjSFZlc,,,2026-04-18 23:09:00
Cuando Floresca el Chuño (Toba),Tunari,In Bolivia,https://www.youtube.com/watch?v=ikS11klPSbg,,,2026-04-18 23:09:00
Cara Pintada (Instrumental),Proyección,"Sueños Perdidos (Instrumental, La Nueva Expresion del Folklore de Bolivia)",https://www.youtube.com/watch?v=p06Fce5Ch2k,,,2026-04-18 23:09:00
Diablo Mal Hecho,Anata Bolivia,De La Paz al Mundo,https://www.youtube.com/watch?v=VkRl2efr48Y,,,2026-04-18 23:09:00
Cara Pintada,Proyección,De Corazón a Corazón,https://www.youtube.com/watch?v=bpCRqs7bmos,,,2026-04-18 23:09:00
Guardian Del Amazonas,Kala Marka,Guardian Del Amazonas,https://www.youtube.com/watch?v=R-euAZodOds,,,2026-04-18 23:09:00
Takirari del Sur,Jeyson Matus & SCD,"Margot Loyola, Premio a la Música de Raíz (Volumen VI)",https://www.youtube.com/watch?v=WHSP6W6m588,,,2026-04-18 23:09:00
Tobas Sur,Yawar Inka,Yawar Inka (Vol. 12),https://www.youtube.com/watch?v=7CMM9YylFr0,,,2026-04-18 23:09:00
"Selección de Cullaguadas: No Quiero Que Llores Negrita, Si de Mi Lado Te Vas, Por Que Soy Pobre",Jach'a Mallku,Soberano por Siempre,https://www.youtube.com/watch?v=TFZiPCyeBV0,,,2026-04-18 23:09:00
La Bolivianita,Quinteto Tiempo,Live In Canada,https://www.youtube.com/watch?v=Q4cze_scyzw,,,2026-04-18 23:09:00
Jach'a Marka,Machay,De Mi Tierra (Bolivia y Su Folklore),https://www.youtube.com/watch?v=fSHDmnP098k,,,2026-04-18 23:09:00
Tobas Pasión,D'JONS,Bella Luna,https://www.youtube.com/watch?v=vI3Ni7SqCr0,,,2026-04-18 23:09:00
20 años mis Tobas,Renovación Andina,20 años mis Tobas,https://www.youtube.com/watch?v=BQilyKa7npc,,,2026-04-18 23:09:00
Destino Sin Final,Proyección,Toda... Una Vida (La Nueva Expresion del Folklore de Bolivia),https://www.youtube.com/watch?v=j2NLCjsD2-g,,,2026-04-18 23:09:00
Gazela,Bolivia Manta,Auki Pacha (Terre des Ancetres),https://www.youtube.com/watch?v=SDDOc0Qjx9I,,,2026-04-18 23:09:00
Suri,Ayra Bolivia,Bolivia,https://www.youtube.com/watch?v=Uc469A30Cls,,,2026-04-18 23:09:00
Selección de Morenadas II,Grupo Chuquiago,Música Sin Fronteras,https://www.youtube.com/watch?v=rUxg-oth0xk,,,2026-04-18 23:09:00
"Selección de Sicureadas: Flor de K'actus, Caramba Chiquita, Un Corazón Como el Mío",Markasata,De Nuestro Pueblo,https://www.youtube.com/watch?v=2z6rpEEA-aQ,,,2026-04-18 23:09:00
A los Tobas (feat. Grupo Viri Nolká),Marcelo García,Tambores Cantando,https://www.youtube.com/watch?v=RqCsgqFy1ps,,,2026-04-18 23:09:00
Aún es Tiempo de Cambiar,Proyección,No Dirijas Tu Mirada Hacia Atrás (La Nueva Expresion del Folklore de Bolivia),https://www.youtube.com/watch?v=EwT87C7igqE,,,2026-04-18 23:09:00
Muñequita,Alaxpacha,Surcos Bolivianos Vol. 5 - 6,https://www.youtube.com/watch?v=2h3srSS9few,,,2026-04-18 23:09:00
Mi Dios de Amor,Munay Bolivia,"""Perdóname""",https://www.youtube.com/watch?v=H7iqXQC3Wvc,,,2026-04-18 23:09:00
TINKUY DE MIS AMORES,KUSSY ÑAWY,TINKUY DE MIS AMORES,https://www.youtube.com/watch?v=oOUu2QE-nxY,,,2026-04-18 23:09:00
Tobas Sur,Marco Antonio Moreno,El Poeta de la Canción (Edición de Oro),https://www.youtube.com/watch?v=KZTfevxIWD4,,,2026-04-18 23:09:00
Toba de la Amistad,Rijchariy,Kaminante de la Vida,https://www.youtube.com/watch?v=2JTf9MHhlwk,,,2026-04-18 23:09:00
Centras Socavón,Sumaya Bolivia,Centras Socavón,https://www.youtube.com/watch?v=lNtSl29GoQA,,,2026-04-18 23:09:00
Ancestros,Machay,De Mi Tierra (Bolivia y Su Folklore),https://www.youtube.com/watch?v=nmTzoBkv0cw,,,2026-04-18 23:09:00
Pilcomayu,Llajtaymanta,Con Orgullo Boliviano,https://www.youtube.com/watch?v=DTsQWOmWJRU,,,2026-04-18 23:09:00
Coraza / Armay Chischi / Changa Marcana,Bolivia Manta,Quechua Music,https://www.youtube.com/watch?v=ILAui28vE0Q,,,2026-04-18 23:09:00
Primavera,Kala Marka,Llamerada,https://www.youtube.com/watch?v=VDW1m1gZgxA,,,2026-04-18 23:09:00
Soy Toba,Fruto del Ande,Unamos Nuestras Vidas,https://www.youtube.com/watch?v=jd1mGI6-SRk,,,2026-04-18 23:09:00
