title,artist,album,url,description,release_year,fetch_date
Vasija de Barro,Ecuador Manta,Sounds of the Andes,https://www.youtube.com/watch?v=6WcEg4V75KE,,,2026-04-18 23:06:41
"Ballet Auca Sisa - Coreografía San Juanito ""Asi Asigu"" (KuruÑan)",Ballet Auca Sisa,N/A,https://www.youtube.com/watch?v=Mfq8n5_CKQA,,,2026-04-18 23:06:41
Mi Chosita,Los Duros de San Pedro de Tabacundo,El Gusto De Los Duros,https://www.youtube.com/watch?v=GbxXUH6Ygfc,,,2026-04-18 23:06:41
EL TRANSPORTE / JUAN SANITO - Hermosas danzas folklóricas ecuatorianas EN VIVO,Media Folk,N/A,https://www.youtube.com/watch?v=El1Thf7GGpg,,,2026-04-18 23:06:41
JAWAY JAWAY - Coreografía en vivo 🇪🇨,Media Folk,N/A,https://www.youtube.com/watch?v=-TIOrY-0bTI,,,2026-04-18 23:06:41
Ángel Guaraca - Resistencia Indígena (Coreografía completa),Media Folk,N/A,https://www.youtube.com/watch?v=RRcFlrYQP1M,,,2026-04-18 23:06:41
Fiesta,Jayac,16 Éxitos al Amor,https://www.youtube.com/watch?v=GXvbMpZWhYc,,,2026-04-18 23:06:41
San Juanito de Otro Tiempo (Sanjuanito),Los Folkloristas,Ecuador,https://www.youtube.com/watch?v=2M4tBVtyjrs,,,2026-04-18 23:06:41
Cariñito,Runallacta,Cariñito,https://www.youtube.com/watch?v=YKX2dOTrK40,,,2026-04-18 23:06:41
Simiruco (Albazo de Ecuador),Hermanas Mendoza Suasti,18 Exitos de Ecuador,https://www.youtube.com/watch?v=FCWt3DBrBNI,,,2026-04-18 23:06:41
Sin Palabras,Ecuador Manta,Ritmos Raices,https://www.youtube.com/watch?v=wMX5UhHdigA,,,2026-04-18 23:06:41
Sanjuanito Compañero,Hermanas Mendoza Suasti,Grandes Éxitos,https://www.youtube.com/watch?v=04U4AkuNAKo,,,2026-04-18 23:06:41
"Adelante (Original 12"")",Sash!,Adelante,https://www.youtube.com/watch?v=aX_Ip26Y4nQ,,,2026-04-18 23:06:41
The Final Countdown,Europe,The Final Countdown (Expanded Edition),https://www.youtube.com/watch?v=NNiTxUEnmKI,,,2026-04-18 23:06:41
Bailando (Video Edit),Paradisio,Bailando (Video Edit),https://www.youtube.com/watch?v=G223WQ6vSII,,,2026-04-18 23:06:41
Brown Sugar (Remastered 2009),The Rolling Stones,Sticky Fingers,https://www.youtube.com/watch?v=Bar7SzNLnY0,,,2026-04-18 23:06:41
Look At Her Now,Selena Gomez,Rare,https://www.youtube.com/watch?v=ACQStGgSAs0,,,2026-04-18 23:06:41
Coloratura,Coldplay,Music Of The Spheres,https://www.youtube.com/watch?v=bQKfPbfokqc,,,2026-04-18 23:06:41
Amapolas,Leo Rizzi,Amapolas,https://www.youtube.com/watch?v=NorfZaIkyL8,,,2026-04-18 23:06:41
Rhythm Is a Dancer,SNAP!,The Madman's Return,https://www.youtube.com/watch?v=yYfzC8cY4j8,,,2026-04-18 23:06:41
Telephone (feat. Beyoncé),Lady Gaga,The Fame Monster (International Deluxe),https://www.youtube.com/watch?v=Q6ygh2dkjZw,,,2026-04-18 23:06:41
Quechua,"Quintino, Thomas Gold",Quechua,https://www.youtube.com/watch?v=14Do-aTJb_U,,,2026-04-18 23:06:41
Made You Look,Meghan Trainor,Takin' It Back,https://www.youtube.com/watch?v=79vxRvYqeT4,,,2026-04-18 23:06:41
Goumi,Myriam Fares,Goumi,https://www.youtube.com/watch?v=5HZHCY4LfG0,,,2026-04-18 23:06:41
Baianá,Bakermat,The Ringmaster,https://www.youtube.com/watch?v=O06-PTQYyVk,,,2026-04-18 23:06:41
